TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"8881801","Magic","Avatar: The Last Airbender","Aang's Iceberg","","5","R","Near Mint","0.59","0.96","1.5600","0.2500","0","0","0.2500",""
"8883585","Magic","Avatar: The Last Airbender","Aang's Journey","","1","C","Near Mint","0.23","0.01","1.3200","0.0100","1","0","0.1500",""
"8889682","Magic","Avatar: The Last Airbender","Abandon Attachments","","205","C","Near Mint","0.24","","1.3600","0.0500","0","0","0.1500",""
"8973862","Magic","Avatar: The Last Airbender","Airbender Ascension","","6","R","Near Mint","1.43","2.77","2.1400","0.8300","0","0","0.7300",""
"9004821","Magic","Avatar: The Last Airbender","Airbender's Reversal","","7","U","Near Mint","0.32","0.15","1.3600","0.0500","1","0","0.1500",""
"9021662","Magic","Avatar: The Last Airbender","Ally (0004) // Clue (0015) Double-Sided Token","","4 // 15","T","Near Mint","0.13","0.02","1.3200","0.0100","1","0","0.1500",""
"9021852","Magic","Avatar: The Last Airbender","Ally (0007) // Clue (0018) Double-Sided Token","","7 // 18","T","Near Mint","0.19","0.09","1.3200","0.0100","1","0","0.1500",""
"8988316","Magic","Avatar: The Last Airbender","Bumi Bash","","125","C","Near Mint","0.11","0.01","1.3200","0.0100","1","0","0.1500",""
"8891927","Magic","Avatar: The Last Airbender","Buzzard-Wasp Colony","","88","U","Near Mint","0.07","0.01","1.3200","0.0100","1","0","0.1500",""
"8890477","Magic","Avatar: The Last Airbender","Cat-Owl","","212","C","Near Mint","0.15","0.01","1.3200","0.0100","1","0","0.1500",""
"8981542","Magic","Avatar: The Last Airbender","Compassionate Healer","","13","C","Near Mint","0.15","0.01","1.3200","0.0100","1","0","0.1500",""
"8891263","Magic","Avatar: The Last Airbender","Corrupt Court Official","","92","C","Near Mint","0.06","0.01","1.3200","0.0100","1","0","0.1500",""
"8977592","Magic","Avatar: The Last Airbender","Cycle of Renewal","","170","C","Near Mint","0.23","0.10","1.3300","0.0200","0","0","0.1500",""
"8892351","Magic","Avatar: The Last Airbender","Earth Village Ruffians","","219","C","Near Mint","0.05","0.01","1.3200","0.0100","1","0","0.1500",""
"8978532","Magic","Avatar: The Last Airbender","Energybending","","2","U","Near Mint","0.30","0.22","1.3400","0.0300","0","0","0.1500",""
"8978537","Magic","Avatar: The Last Airbender","Energybending","","2","U","Near Mint Foil","0.35","0.23","1.4900","0.1800","0","0","0.1800",""
"8890537","Magic","Avatar: The Last Airbender","Flexible Waterbender","","50","C","Near Mint","0.15","0.01","1.3200","0.0100","1","0","0.1500",""
"8999091","Magic","Avatar: The Last Airbender","Foggy Swamp Hunters","","101","C","Near Mint","0.06","0.01","1.3200","0.0100","1","0","0.1500",""
"8883530","Magic","Avatar: The Last Airbender","Forest (0291)","","291","L","Near Mint Foil","0.42","0.55","1.4600","0.1500","0","0","0.1500",""
"8889862","Magic","Avatar: The Last Airbender","Geyser Leaper","","52","C","Near Mint","0.10","0.01","1.3200","0.0100","1","0","0.1500",""
"8892897","Magic","Avatar: The Last Airbender","Hog-Monkey","","104","C","Near Mint","0.07","0.01","1.3200","0.0100","1","0","0.1500",""
"8889922","Magic","Avatar: The Last Airbender","Iguana Parrot","","56","C","Near Mint","0.13","0.01","1.3200","0.0100","1","0","0.1500",""
"8998309","Magic","Avatar: The Last Airbender","Invasion Reinforcements","","24","U","Near Mint","0.23","0.01","1.3200","0.0100","1","0","0.1500",""
"8975861","Magic","Avatar: The Last Airbender","Island (0293)","","293","L","Near Mint","0.40","0.39","1.4100","0.1000","0","0","0.1500",""
"8889300","Magic","Avatar: The Last Airbender","Jeong Jeong's Deserters","","25","C","Near Mint","0.10","0.01","1.3200","0.0100","1","0","0.1500",""
"8892967","Magic","Avatar: The Last Airbender","Long Feng, Grand Secretariat","","233","U","Near Mint","0.17","0.05","1.3200","0.0100","1","0","0.1500",""
"8989984","Magic","Avatar: The Last Airbender","Mai, Jaded Edge","","147","U","Near Mint","0.15","0.04","1.3200","0.0100","1","0","0.1500",""
"8893437","Magic","Avatar: The Last Airbender","Mongoose Lizard","","148","C","Near Mint","0.04","0.01","1.3200","0.0100","1","0","0.1500",""
"9013287","Magic","Avatar: The Last Airbender","Mountain (0285)","","285","L","Near Mint","0.12","0.01","1.3200","0.0100","1","0","0.1500",""
"8988136","Magic","Avatar: The Last Airbender","Origin of Metalbending","","187","C","Near Mint","0.24","0.06","1.3300","0.0200","0","0","0.1500",""
"8894167","Magic","Avatar: The Last Airbender","Ostrich-Horse","","188","C","Near Mint","0.09","0.01","1.3200","0.0100","1","0","0.1500",""
"8888270","Magic","Avatar: The Last Airbender","Path to Redemption","","31","C","Near Mint","0.13","0.01","1.3200","0.0100","1","0","0.1500",""
"9006964","Magic","Avatar: The Last Airbender","Phoenix Fleet Airship","","114","M","Near Mint","2.91","4.06","3.0800","1.7700","0","0","1.9800",""
"8894862","Magic","Avatar: The Last Airbender","Rebellious Captives","","191","C","Near Mint Foil","0.11","0.05","1.3200","0.0100","1","0","0.1500",""
"8893497","Magic","Avatar: The Last Airbender","Rough Rhino Cavalry","","152","C","Near Mint","0.08","0.01","1.3200","0.0100","1","0","0.1500",""
"8890212","Magic","Avatar: The Last Airbender","Serpent of the Pass","","70","U","Near Mint","0.14","0.01","1.3200","0.0100","1","0","0.1500",""
"8890822","Magic","Avatar: The Last Airbender","Sokka, Lateral Strategist","","241","U","Near Mint Foil","0.24","0.15","1.3600","0.0500","1","0","0.1500",""
"8990806","Magic","Avatar: The Last Airbender","Sold Out","","119","C","Near Mint","0.07","0.01","1.3200","0.0100","1","0","0.1500",""
"8977832","Magic","Avatar: The Last Airbender","Sparring Dummy","","197","U","Near Mint","0.11","0.01","1.3200","0.0100","0","0","0.1500",""
"8979612","Magic","Avatar: The Last Airbender","Sun Warriors","","244","U","Near Mint","0.24","0.13","1.3200","0.0100","0","0","0.1500",""
"8982429","Magic","Avatar: The Last Airbender","True Ancestry","","199","U","Near Mint","0.32","0.15","1.3200","0.0100","1","0","0.1500",""
"8990986","Magic","Avatar: The Last Airbender","Twin Blades","","157","U","Near Mint","0.24","0.10","1.3200","0.0100","1","0","0.1500",""
"8999191","Magic","Avatar: The Last Airbender","Walltop Sentries","","202","C","Near Mint","0.12","0.01","1.3200","0.0100","1","0","0.1500",""
"9009167","Magic","Avatar: The Last Airbender","Wartime Protestors","","160","R","Near Mint","0.33","0.28","1.4000","0.0900","0","0","0.1500",""
"9008505","Magic","Avatar: The Last Airbender","Zuko's Conviction","","123","U","Near Mint","0.23","0.10","1.3200","0.0100","1","0","0.1500",""
"8955109","One Piece Card Game","Carrying On His Will","Ace & Sabo & Luffy","","OP13-007","SR","Near Mint Foil","2.22","","2.5500","1.0000","0","0","1.0200",""
"8955414","One Piece Card Game","Carrying On His Will","Amatsuki Toki","","OP13-060","C","Near Mint","0.08","","1.3200","0.0100","0","0","0.1500",""
"8955704","One Piece Card Game","Carrying On His Will","Atlas","","OP13-101","UC","Near Mint","0.07","","1.3200","0.0100","3","0","0.1500",""
"8955274","One Piece Card Game","Carrying On His Will","Bepo","","OP13-035","C","Near Mint","0.05","","1.3200","0.0100","6","0","0.1500",""
"8955344","One Piece Card Game","Carrying On His Will","Blamenco","","OP13-048","UC","Near Mint","0.03","","1.3200","0.0100","5","0","0.1500",""
"8955349","One Piece Card Game","Carrying On His Will","Blenheim","","OP13-049","UC","Near Mint","0.07","","1.3200","0.0100","3","0","0.1500",""
"8955359","One Piece Card Game","Carrying On His Will","Boa Hancock","","OP13-051","R","Near Mint Foil","0.22","","1.3200","0.0100","0","0","0.1500",""
"8955369","One Piece Card Game","Carrying On His Will","Boa Marigold","","OP13-052","UC","Near Mint","0.08","","1.3500","0.0400","3","0","0.1500",""
"8955354","One Piece Card Game","Carrying On His Will","Boa Sandersonia","","OP13-050","C","Near Mint","0.05","","1.3200","0.0100","7","0","0.1500",""
"8955409","One Piece Card Game","Carrying On His Will","Brilliant Punk","","OP13-059","C","Near Mint","0.06","","1.3200","0.0100","5","0","0.1500",""
"8955269","One Piece Card Game","Carrying On His Will","Brook","","OP13-034","C","Near Mint","0.04","","1.3200","0.0100","7","0","0.1500",""
"8955489","One Piece Card Game","Carrying On His Will","Buggy","","OP13-072","R","Near Mint Foil","0.16","","1.3600","0.0500","0","0","0.1500",""
"8955179","One Piece Card Game","Carrying On His Will","But Ace Here Said You Deserved It!!","","OP13-019","R","Near Mint Foil","0.11","","1.3200","0.0100","3","0","0.1500",""
"8955729","One Piece Card Game","Carrying On His Will","Conney","","OP13-106","C","Near Mint","0.04","","1.3200","0.0100","6","0","0.1500",""
"8955424","One Piece Card Game","Carrying On His Will","Crocus","","OP13-062","UC","Near Mint","0.07","","1.3200","0.0100","0","0","0.1500",""
"8955324","One Piece Card Game","Carrying On His Will","Curiel","","OP13-044","C","Near Mint","0.03","","1.3200","0.0100","7","0","0.1500",""
"8955124","One Piece Card Game","Carrying On His Will","Curly.Dadan","","OP13-009","C","Near Mint","0.03","","1.3200","0.0100","6","0","0.1500",""
"8955509","One Piece Card Game","Carrying On His Will","Divine Departure","","OP13-076","R","Near Mint Foil","1.37","","2.3100","1.0000","0","0","0.9000",""
"8955469","One Piece Card Game","Carrying On His Will","Douglas Bullet","","OP13-068","C","Near Mint","0.07","","1.3200","0.0100","1","0","0.1500",""
"8955709","One Piece Card Game","Carrying On His Will","Edison","","OP13-102","UC","Near Mint","0.10","","1.3200","0.0100","0","0","0.1500",""
"8955309","One Piece Card Game","Carrying On His Will","Edward.Newgate","","OP13-042","SR","Near Mint Foil","1.03","","1.7500","0.4400","0","0","0.5000",""
"8955119","One Piece Card Game","Carrying On His Will","Emporio.Ivankov","","OP13-008","C","Near Mint","0.04","","1.3200","0.0100","6","0","0.1500",""
"8955559","One Piece Card Game","Carrying On His Will","Five Elders","","OP13-082","SR","Near Mint Foil","1.61","","2.3100","1.0000","0","0","0.5600",""
"8955339","One Piece Card Game","Carrying On His Will","Fossa","","OP13-047","C","Near Mint","0.05","","1.3200","0.0100","4","0","0.1500",""
"8955264","One Piece Card Game","Carrying On His Will","Franky","","OP13-033","C","Near Mint","0.06","","1.3200","0.0100","5","0","0.1500",""
"8955519","One Piece Card Game","Carrying On His Will","Go All the Way to the Top!!","","OP13-077","C","Near Mint","0.05","","1.3200","0.0100","2","0","0.1500",""
"8955079","One Piece Card Game","Carrying On His Will","Gol.D.Roger (003)","","OP13-003","L","Near Mint","0.16","","1.3200","0.0100","0","0","0.1500",""
"8955434","One Piece Card Game","Carrying On His Will","Gol.D.Roger (064)","","OP13-064","SR","Near Mint Foil","0.46","","1.4100","0.1000","0","0","0.1500",""
"8955209","One Piece Card Game","Carrying On His Will","Gordon","","OP13-024","C","Near Mint","0.07","","1.3200","0.0100","6","0","0.1500",""
"8955504","One Piece Card Game","Carrying On His Will","Guess We'll Have Another Scrap. You Can Only Risk Death While You're Still Alive!!","","OP13-075","UC","Near Mint","0.11","","1.3200","0.0100","0","0","0.1500",""
"8955804","One Piece Card Game","Carrying On His Will","Gum-Gum Dawn Stamp","","OP13-117","R","Near Mint Foil","0.13","","1.3200","0.0100","2","0","0.1500",""
